sentence1,sentence2,匹配度,是否匹配,真实标签
玩玩具的狗。,狗死了，没有玩具,0.1473,0,0
天哪我对这件事能做什么呢？,苔丝过于悲伤，再也说不下去了，就软弱无力地瘫倒在一把椅子上。,0.0,0,0
现货白银走势分析图怎么看？,如何分析现货白银走势？,0.9619,1,1
一个人认为没有人在旁边倾听，就会自言自语起来。,当然喽，我是不会来的。,0.0,0,0
也许她就在那里，在那中间！,另一张是一个女士服饰商开具的三十七镑十五先令的发票，开发票的人是邦德街莱苏丽尔太太。,0.0395,0,0
她回答说:我怎么会干出那种事来？,她说:我怎么起意的？,0.001,0,1
目前的结构围绕着陵墓是由一位希腊东正教建筑师在19世纪设计的。,耶稣基督是他自己坟墓的设计者。,0.356,0,0
十一点提醒我,十分钟提醒,0.9837,1,0
但他对自己说:不如让他不知道，他反可以安静一点儿。,相反，勋座，在胜负未定的战斗中，谁更顽强，胜利就属于谁，拉耶夫斯基回答说，我的意见凯萨罗夫！,0.1032,0,0
所以毫不足怪:这班爱好文艺的绅士们对俄罗斯文学——尤其是戏剧文学，也大加赏识《雅柯勃萨纳扎尔》就是为他们写的:已经被描写过一千次的、不为世人承认的天才们对人类及全世界之间的斗争，照样使他们感动到心灵深处。,咱们最好等太阳出来了再比试，而且咱们比试还应该有个条件，那就是输者以后得听赢者的，让他干什么就得干什么，只要不辱没他的骑士身份。,0.0342,0,0
他喘着气说，哆嗦着，握住她的手不放，那样子象是需要她的扶持似的；他的眼光羞怯地在她身上打转，那一双大蓝眼睛已深深地陷了进去，他本来那种没精打采的神情，现在只剩下憔悴和凄凉了。,如果我成饯人，我就要把你送太读。,0.0837,0,0
包什在这种时候大都是要求喝酒，喝完了酒，站起来，又起劲地大声呼喊猎狗了。,他用顺从的温柔的眼光望着她，吻了吻她的手，立起身来，于是，默默无言地在凉台上来回走着。,0.0,0,0
几乎就在墙角的地方一个坐在军大衣上的老兵目不转睛地看着罗斯托夫，这老兵脸色发黄，瘦得皮包骨头，表情严厉，留着灰白色的大胡子。,第二天晚上，全家在两个老人房间里喝茶。,0.044,0,0
消防队员抬起头来看着其他消防员。,消防队员盯着手头的任务。,0.3971,0,1
哪里可爱,我哪里可爱,0.9191,1,1
在俗人士费伊、托奎克等等。,你还不知道吗？,0.1631,0,0
海鸟被老式灯塔的火光吸引，飞过去，一直冲进塔里，跌落在火焰中，又跳起来，仿佛黑色的精灵在地狱里作垂死挣扎；有时，它们也跌到火红的铁笼外面，落在岩石身冒着烟，跛了脚，瞎了眼，像被灯火烧得半死的飞蛾飞出火焰以外一样。,他能够有这样的自制能力非常难得！,0.222,0,0
嗯！现在你懂了吧，妈！,嗯！现在你明白了吧，妈！,0.9755,1,1
是的他回答说。,知道。老人回答。,0.1623,0,1
他吻了一下爱格妮的面颊。,三月来临，但平和无异。,0.0,0,0
丽达不大相信地听着，接着又问:托卡列夫同志，你说的是真话吗？,看到街道，看到城里已开始出现的热闹景象，于连感到很舒服。,0.003,0,0
他有勇气和狡猾，但他的血液不是我们想要的马驹在这个范围内的一条线。,他的血在这个范围内是非常需要的。,0.0794,0,0
大家都想让对方听见，但他们的声音相互干扰，因此大家都放开嗓门叫，要压倒别人的声音。,你小时候可不是个美人啊。,0.0208,0,0
余额宝里有钱花呗就可以自动还吗,怎么设置借呗自动还款 还款日在余额宝里扣钱,0.0,0,0
一位老年妇女看上去心烦意乱，一位老人在幕后。,前景是一位老年妇女。,0.4315,1,1
它是可以量化的。,它可以用数值方法测量。,0.0296,0,1
尽管以前有过不愉快的事，阿玛丽雅伊凡诺夫娜这次也接到了十分尊敬的邀请，所以她现在忙着干活，几乎觉得十分快乐。,就连阿玛莉雅伊凡诺芙娜，虽然以前跟女主人闹过纠纷，这次却也受到邀请，而且女主人极其尊重她，因此现在就由她来掌管和操办丧宴的事。,0.9378,1,1
一个年长的男人和女人在一间储藏室里用电脑。,只是一个空房间,0.041,0,0
我们也不可能再看到许多像他那样的人了，因为培养他那样的人的时代跟他一样死掉了。,梦中别忘了你家乡的姑娘，她也会梦见你。,0.0273,0,0
英语六级高频词汇以及词组,英语六级高频词汇带有音标,0.0,0,0
"你不理财,财不理你","“你不理财,财不理你”是谁说的？",0.3765,0,0
四个男人穿着绿色衬衫和黑色裤子在街上摆姿势。,女泳装模特在建筑物旁边摆姿势,0.0062,0,0
桃李满天下中的桃李指的是什么,桃李满天下的桃李指什么,0.9854,1,1
事情是很清楚的。,事情的结局是出乎意料的。,0.0265,0,1
老板娘也仅仅是漫不经心、毫不惊奇地瞥了一眼。,老利特克下令埋伏好，自己就在桌子旁边翻看起搜到的材料来。,0.1373,0,0
就在这时聂赫留朵夫开始吸烟喝酒，他不再感到不愉快，甚至觉得轻松自在了。,在这段时期里聂赫留朵夫开始吸烟和喝酒，很快就不再体验到那种不愉快的心情，甚至感到颇为轻松了。,0.9674,1,1
圣约翰手里捧着一本书——吃饭时看书是他不合群的习惯——他合上书，抬起头来。,圣约翰拿着一本书——吃饭时看书是他的孤僻习惯——关上书，头一抬。,0.9785,1,1
一个人正在平衡他头上的物体。,一个人头上有东西。,0.3829,0,1
人神共愤,民怨沸腾,0.1827,0,1
两个人一直互相瞧着。,那火焰照亮了百步之内的海面。,0.0031,0,0
一个拿着银色手提包的女人在午餐柜台排队等候。,那个人在餐馆里。,0.4474,1,1
我回答。行，圣约翰先生十分冷淡地说。,最关键的是，它道明了枪的用途。,0.1199,0,0
而我的那件紫色长毛绒衣服，几乎还从来没有从柜子里取出来穿过。,于是他的谈话进行下去，那声音与原来的大不相同，甚至于他的颜容也没有变得这样厉害:基督的新娘用我的血，用利纳斯或克利德斯的血育养长大，并不是为了用她来获得金钱；西克斯塔斯和庇护，克利克斯塔斯和乌尔班，在流了许多眼泪后流了血，都是为了获得这欢乐的生命。,0.0846,0,0
一个中年男子骑自行车穿过一个城市的街道，他的篮子里装满了报纸.,一个人拿着装满报纸的篮子骑自行车。,0.5756,1,1
龙骑兵很久未能把这个浑身是血、被打得半死的人解救出来。,龙骑兵好久才把那个被打得半死的、血淋淋的工人救出来。,0.9715,1,1
那些在法律上吹毛求疵的人说，这不是性的问题，而是伪证的问题。,法律上挑剔的性取向而不是伪证。,0.0282,0,0
我不知道吗,我不知道啊,0.9657,1,0
二维码付款不能用花呗,我去超市用花呗扫二维码不能用,0.0284,0,0
他见那位年轻的小姐被他这一乖谬的举动吓得离开了座位，便说:嘘！,多洛霍夫说。行啊，皮埃尔说，仍然微笑着。,0.262,0,0
一一你想干什么？,唉，亲爱的，你怎么能这样呢怎么能动刀子我说了完全发自内心的，而且我完全懂得的话，我对她说，我尕死继父，然后我也杀死肖己。,0.0,0,0
严肃容纳激情，并将激情净化，使冒昧在书中发问之变得完美高尚。,你的母亲马利亚停在十字架的脚下，但贫穷却同你一起登上十字架，并且抱住你。,0.0904,0,0
女神！格温膂兰我爱你熊喃喃地说:我有的是做祖父的愉快人从车了底下走出来，挨次走到各人面前，不打扰任何人，也不要人注意它，伸出舌头到处乱舐，一会儿舐熊的粗大皮鞋，一会儿舐格温普兰的外套，一会儿舐女神的袍子，一会儿舐席子。,人从车子底下爬出来，悄悄地围着每个人转，它不让人家注意它，一会儿舔舔熊的大靴子，一会儿舔舔格温普兰的上衣，一会儿舔舔蒂的长袍，一会儿舔舔垫子。,0.1447,0,1
大客厅里满是客人，门口不断有人进进出出；每一次有人进出，门被打开时客厅里的灯光就照在苔丝脸上。,她的心情就突然平静下来，头也不晕了，白兰地带来的醉意也没有刚才那么浓了，她本来没想到要答应和他结婚。,0.0393,0,0
一男一女坐在灯光明亮的舞台上。,一男一女坐在一组明亮的座位上。,0.2247,0,1
然而，这种奇异的景象、这种介乎房舍与坟墓、城镇与墓园之间的可怕幽室，这个斩断尘缘、已经列入死者圈子的活人，这盏在黑暗中即将耗干的油灯，这个在地穴里摇曳残喘的生命，这种气息、这种声音，这种在石头匣中终生的祈祷，这张永远转向另一个世界的面孔，这双已经映现另一颗太阳的眼睛，这颗囚禁在这肉体中的灵魂，这个囚禁在这地牢中的肉体，而在这肉体和岩石的双重外壳里受折磨的灵魂的絮语，这一切，今天我们都会深长思之，而当时根本不为世人所理解。,您可以对宗教大有用处，而我，难道因为耶稣会士会在这种情况下采取同样的做法这种毫无意义的理由，就犹豫不决吗！,0.1164,0,0
去看看它的效果和我的看起来真的很好,去看看它的功能和我的看起来很棒。,0.9768,1,1
以前的自由思想家——现在却进起教堂，做起功德来了；以前的欧化人物——现在却洗起蒸汽浴，变得两点钟午膳，九点钟就寝，由一个老家人说着闲话来催眠了；以前的政治活动家——现在却毁掉了自己所有的方案和所有的通信，变得在县长面前战栗，在警长面前惶恐了；以前的有着铁的意志的人——现在却因为生了脓泡就可以痛哭，因为汤冷了就可以诉冤了。,脑壳和颂骨构成了七十二英尺中的约二十英尺，平坦的脊骨占据了剩下的约五十英尺。,0.0826,0,0
可是现在他哪有心思顾到借据，顾到偿还欠款！,俱是他现在哪儿有心思去管什么借据，去管什么追索欠款呢！,0.5942,1,1
当邓格拉司夫人穿着黑衣服，戴着长面纱，不管狄布雷的跟班再三声明他的主人不在家，仍径自登上楼梯，向认定的房间走去的时候，狄布雷正忙着在反驳一位朋友的奉承；那位朋友劝他，在发生了刚才这幕可怕的场面以后，作为那个家庭的朋友，应该与邓格拉司小姐和她的两百万结婚。,当腾格拉尔夫人穿着黑衣服，并且戴着长面纱，不顾德布雷的跟班再三声明他的主人不在家，依旧径自走上楼梯，向德布雷的房间走去时，德布雷正忙着在反驳一位朋友的建议；在发生了刚才那可怕的一幕以后，那位朋友劝他，作为那个家庭的朋友，他应该把腾格拉尔小姐和她的两百万娶过来。,0.0,0,1
如果你有钱的话,如果你有钱的话。,0.9831,1,1
咦，狱卒说，别老去想那些不可能的事，不然，你不到两个星期就会发疯。,可是这些都是废话，都是表面的看法。,0.2189,0,0
自从上次拜访马斯连尼科夫，尤其是回过乡下之后，聂赫留朵夫不仅仅意识到，而且全身心地感觉到他对自己一直生活在其中的那个圈子的憎恶。,可您不应该就这么毁约，马尔塞夫一家人都期望结成这门亲事呢。,0.1122,0,0
两个人站在一起，看上去好像在看什么东西。,男人和其他人在一起。,0.3841,0,1
一个穿着拖鞋的赤裸男孩骑着他的自行车。,这个男孩骑自行车玩把戏。,0.5717,1,1
辛迪，一个中年金发女人，展示了她的烹饪和航海画的两幅不同的漫画。,有人在炫耀插图。,0.0641,0,1
窗帘垂下，可是，他父亲的印象在他的脑子里是这样的生动，以致他对那关着的窗户说起话来，象是它依旧开着而且依旧还可以看见那气势汹汹的老人似的。,现在他心中只有这么一个问题:难道是我让拿破仑到莫斯科来的吗？,0.0053,0,0
一个小孩抱着一只毛绒动物，背着一件黑色的行李，背对着两个人穿着粉红色的衣服。,人们正在旅行,0.0205,0,1
她的语气里表现了那种咬牙切齿的仇恨，那种冷酷无情的尖刻，那种勉强压伏的愤怒，把她呈现在我面前，好像我在强烈的光线里看到她一样。,理想和性这两个本能在他心里斗争。,0.1094,0,0
他把一块厚丝绒布覆盖在我的头上，蜜蜡和乳香的气味扼住我的呼吸，说话很吃力，而且我也不想说话。,因为我就是那个当你还是一个小孩子时就把你抱在膝头上玩耍的爱德蒙唐太斯。,0.0022,0,0
罗莉已经二十二岁了，有着赭色的简便剪成的短发和阔大的脸。,但愿不要有人突然把她惊醒！,0.0,0,0
不要像个妒忌的人那样攻击他们。,难道还有什么比这更好的办法吗？,0.0098,0,0
她的脸和手都异常苍白看样子，您是想跟我们不辞而别吧？,我求你，我恳求你，听我的话！,0.0,0,0
戴着耳机的飞行员在陆地上空飞行。,飞行员头上有东西。,0.3072,0,1
他总算还能够死在自己家里，自己的床上，有自己人围绕在旁边，由自己的医生照料着；但可怜的潘捷列伊所得到的只是一个别索诺沃村。,他总算还能够死在自己家里、自己的床上，有自己人围绕在旁边，由自己的医生照料着；但是可怜的邦捷列所得到的只是一个贝松诺伏村。,0.9831,1,1
一个人在竞技场上试图躲避被一匹马击中。,有人在竞技场上躲避那匹马。,0.5664,1,1
oppo什么手机超级闪充功能,我想关闭OPPO手机的闪充功能,0.0,0,0
财政预算预测的历史应提醒我们不要自满，不要自满地认为，未来10年内一定会出现大量盈余，正如所预测的那样。,预算预测的历史应该提醒人们不要自满。,0.5645,1,1
船老板们在议论那船上的货，海关人员则在谈论这艘船的有关活动。,但维尔福小姐护士犹豫不决地说。,0.3362,0,0
这些是在未知中被观察到的物质存在；去触碰这些光亮，不靑一种可怕的挑战。,因此这儿十分闷热。,0.0599,0,0
是的，但我这次来的目的还不止要做你们的同伴。,他和他的一行人走过去，看到这儿在印刷，那儿在校样，有的人排版，有的人校改，反正都是大印刷厂里那一套。,0.0906,0,0
假如你知道一切的话！,至于她，经过这次谈话，已经取得勇者的地位:倦于生活，服下一剂曼陀罗，顺其自然，万念俱灰。,0.0965,0,0
请你转过身去，像这样挥手叫他走开。,鲍里斯属于后一派，谁也没有他那样善于奴颜婢膝，曲意奉承库图佐夫，而同时又给人以老头子不行、一切都由贝尼格森主持的感觉。,0.085,0,0
在线看电影用什么用什么网站好,有什么好的在线看电影的网站吗？,0.9822,1,1
一个年轻人拿着耳机对着麦克风唱歌。,可以看到一个歌手。,0.1059,0,1
那个穿得破破烂烂的人甚至有点儿困惑莫解地问。,那个衣服破烂的人问，甚至有点儿纳闷。,0.394,0,1
大呼小喝,轻言细语,0.0,0,0
她闭上眼睛，心里默默地表示感激，忘记了人间和生活，听任这位善良的魔鬼把他们带到天上去，她只能这样。,人们在议论着，喊叫着，叹息着；车夫露出手足无措的样子，偶尔重复作孽啊！,0.0296,0,0
全国消防宣传日是在哪一天,春节是几号,0.0,0,0
然后用红笔把它划掉。,用红笔把它划掉。,0.9629,1,1
重要的是人人都将知道我为这次选举出过力，花过钱。,为了使皮埃尔娶自己的女儿所必须做的一切，瓦西里公爵都做到了。,0.0678,0,0
我立刻接受。第一是您决不能告诉任何人说我曾允许您和她会面。,那么，在好桑乔同小羊玩的时候，公爵问，唐吉诃德大人干什么呢？,0.0011,0,0
别有滋味,别有风味,0.9532,1,1
在一九六二年，殖民地当局封闭了与中国的边境，但即使这样，也没有完全阻止下一批来港的是越南船民。,中国关闭了边境。,0.1607,0,0
心地再好的女人，对情敌的痛苦也是毫不心软的。,即使是最善良的女人的心，对情敌的痛苦也是丝毫不会感到同情的。,0.8836,1,1
哦，那会很好的,那种情况不是很顺利。,0.0859,0,0
一对新婚夫妇在婚礼上和客人交谈。,客人们参加了婚礼。,0.351,0,1
四轮马车立即动了一下，它横对着波浪向前冲了冲一抖动着，摇摆着，往前走去起初我觉得，我们在往深处沉下去，但是两三次冲动和下沉，水面仿佛突然降低了它越来越低，马车便从水面上升了起来——瞧，车轮和马尾巴已纤出来；瞧，马儿激起一大片一大片金钢钻般的浪花，不，不是金钢钻般的，而是在据腕的月光下像蓝宝石放射出来的光束一般的浪花，它们共同欢乐地把我们拉上沙岸，竞相迈动光亮而潮湿的马腿，顺着大路往山里走去。,我不知道这是什么。,0.4461,1,0
我考试成绩不理想,考试考砸了,0.0818,0,1
“回你的房间去！”汤米小心翼翼地从梯子后面跳了下去。,汤米鲁莽地爬上梯子的前部。,0.3143,0,0
孩子们偷偷地看着公鸟和雌鸟围在巢旁的一举一动，被它们相互追逐的热乎劲儿迷住了，忘记了回去的时间。,孩子们偷偷地看着公鸟和母鸟围在巢旁的一举一动，被它们相互追逐的热乎劲儿迷住了，忘记了回去的时间。,0.9699,1,1
她的眼睛干涩如焚，半晌没讲话，只是在小屋里大步走来走去，不时停一停，扯下一缕斑白头发，用牙齿咬断。,庆幸没有什么损失，只是魁魁格让大鲸的尾巴扫掉了帽子。,0.018,0,0
但是法国的那些以前机灵和高傲的执政者们现在觉得他们的戏演完了，显得比他还要慌张，说的不是他们为了保持政权和消灭他而应该说的话。,但是，从前精明而骄傲的法国统治者们，这时觉得他们所扮演的角色已经演完，比他更狼狈，这些人现在说了一些不是他们为了保持权力和消灭他应该说的话。,0.264,0,1
那么怎么样呢！,但是我走了不过一百五十码左右，便听到我背后传来一声可怕的喊叫，于是我便赶快再跑回去。,0.1321,0,0
我下跪过了你们的旅馆到了，单就这一点来说，罗季昂不久前撵走了你们的彼得彼得罗维奇，是做得对的！,彭斯服从了。她从小书房里出来的时候，我细细地瞧瞧她；她刚把手帕放回她的口袋，瘦削的脸蛋上还有一丝泪痕在闪闪发光。,0.0339,0,0
就在东边是新艺术风格的维也纳帕拉西奥酒店(Hotel Palacio维也纳)，这是一座鬼楼，如果有的话，那是一座令人难以置信的腐朽建筑。,维也纳帕拉西奥酒店有一种新艺术风格。,0.2995,0,1
离拱道进口大约十来步光景，紧靠马路旁边，有一所孤零零的小房子两年以前，小房子上面落过一个炮弹，内部全被炸坏了，正面成了一片废墟，现在它还像一个张着大口的乞丐，坐在路旁现出一副穷相。,离拱道入口大约十步的地方，紧靠公路，有一所孤零零的小房子。,0.2465,0,1
骠骑兵中校便问服装漂亮的勤务兵，这个勤务兵带着总司令的勤务兵们和军官谈话时特有的轻蔑语气对他说:什么，殿下吗？,那个勤务兵带着所有总司令的勤务兵跟军官说话时都具有的特别蔑视的腔调对他说:什么，勋座大人吗？,0.0321,0,1
也许他还在睡觉，在这一片吵吵嚷嚷声中居然还睡得着，说明他是一个睡觉很正常的人，可他为什么没有收到任何档案呢？,我是法里亚神甫，他说，如您所知道的，我在一八一一年成了伊夫堡的囚徒；在这之前我在弗内斯特雷尔堡被关过三年。,0.2445,0,0
两辆摩托车跳过一座泥泞的小山。,两个小丑骑着一辆独轮车，让所有的孩子都笑起来。,0.0158,0,0
他是渔夫，可是他又不仅仅是渔夫。,虽然洛塔里奥都同意了，可目的同安塞尔莫完全不同。,0.1022,0,0
他知道万德迈耶太太就要出国了，仆人们已经走了。,仆人还在这里。,0.3266,0,0
下载安心记加班,你可加班,0.0,0,0
在这种病就要发作的时候，劳瑞先生问，假如他能想法让自己把心头的隐痛向什么人吐露一下，他是不是就会感到明显地轻松了呢？,我这么快就领悟了似乎让他很快活，他往下说道:喏，我认为主要，由于她处于一种不安定状况中，你知道。,0.0688,0,0
然后他又抱住石头，只一滚，就把它滚回原来那个方向，刚好落到原处，只不过稍稍高出了一点儿。,接着他又抱住石头，一下就把石头扳回来了，石头恰好扳回到原处，只是稍微搁得高了点。,0.5852,1,1
这种说法有着犹太人的味道，自治的太阳从西北方冉冉升起。,这个字母念——啊兹。,0.0,0,0
有一大，是星期六，清早我就到彼得罗夫娜的菜函里去捉灰雀，可那些挺着红肚子的灰雀爱摆架子，就是不进我的圈套；它们弄姿作态，在镶银似的雪面冰上贪玩地走来走去，或跳上被霜暖暖裹着的灌木从的树枝，悠悠地晃荡着，树枝上星星点点地洒落下蓝昔堂的雪花，像一朵朵开着的鲜花。,有一大，是星期八，清早我就到彼得罗夫娜的菜园去捉灰雀，可那些挺着红肚子的灰雀爱摆架子，就是不进我的圈套；它们弄姿作态，在镶银似的雪面冰层上贪玩地走来走去，或跳上被霜暖暖裹着的灌木丛的树枝，悠悠地晃荡着，树枝上星星点点地洒落下蓝莹莹的雪花，像一朵朵开着的鲜花。,0.9672,1,1
谁的马鞍呢？有两个哥萨克人住在我们家里，我把他们的一只老马鞍的皮子割下来，做我的鞋底，那哥萨克人便把我带到这儿来。,卡德鲁斯问，他兴奋得有点糊涂了。,0.1674,0,0
若是我还讲不清楚，您再来订正，我是很公孙的我不明白，桑丘，堂吉诃德马上说道，不知道我是很公孙的是什么意思。,我给你带个什么回来呢？,0.0,0,0
屌丝如何逆袭,屌丝要如何逆袭,0.9828,1,1
这是一张两男一女在新闻发布会或会议上的照片。,我看着格林。,0.0114,0,0
天天酷跑叉叉助手怎么设置,叉叉助手天天酷跑怎么设置,0.986,1,1
绿林女头领乌斯达是伏尔加河一带传说中的女英雄。,；伏尔加河带传说中的女英雄代说中批纪埃及的荡妇，改邪卜::打死吧？,0.0,0,1
不过他又为自己辩护:难道恢复自的权利，收回自己的财产，接受应得的遗产，回到己的房子里，以贵族身分重新占据袓先原有的席位，以孤儿身分恢复使用父亲的姓，这是很大的错误吗？,这当儿，他自己盘算着，一个人收回自己的权利，接受自己的产业继承权和自己的房屋，一个贵族接受自己祖先的爵位，一个孤儿接受自己父亲的姓氏，难道真的是十恶不赦吗？,0.1476,0,1
我的计划有可怕的成份，令我畏葸不前。,桑乔一见到公爵夫人，就把自己猎装被撕破的地方指给她看，并说道:如果这次打猎我们只遇见野兔或者飞禽的话，我的猎装也不会被撕成这个样子。,0.1514,0,0
打开短消息,读短信息,0.9601,1,0
英国旧金币，一畿尼合二十一先令。,可是假如那个人带着这个玩偶走来坐在他所爱的人面前，而且开始爱抚他的玩偶，一如那位情人爱抚着他所爱的女人一样的时候，那位情人一定会很不愉快的。,0.1294,0,0
2.在拥挤地区中间的年轻人正在演奏音乐。,人群中的人听到正在播放的音乐。,0.5913,1,1
我又哭了！别管我这个傻瓜咬呀，上帝啊，我怎么光坐着啊，她喊了一声，很谈站起来，有咖啡呀，我竟不给你喝咖啡！,她是想用这最后的而且绝望的目光看出，而且抓住哪怕是最后的一线希望。,0.0208,0,0
桑丘还以为是天空塌了直奔自己的头顶碰了下来，被吓得赶忙弓起身子将脑袋藏进了裤裆里。,我听说有位夫人向一个星卜家请教，问她养的那只小哈巴狗会不会怀孕生小狗，一窝能产几只什么毛色的狗。,0.0,0,0
玩滑板戏法的孩子和骑自行车的大孩子。,年纪大的孩子们在滑板上,0.3373,0,0
殖民主义的回声在火车站明显可见，它的摩尔式建筑让人想起吉隆坡的中央车站，在当地被称为泰姬陵；附近是Majestic Station酒店。,火车站在当地被称为泰姬陵。,0.124,0,1
凡人都有一死，身边很近的地方有个声音说，但并非所有的人都注定遭遇慢慢挨的早死。,人总是要死的，近旁的一个声音说道；但并不是所有人都注定要遭到不爽快的早死，像你这样，如果你在这儿因为贫困而死去的话。,0.5186,1,1
马格尼茨基则取笑起斯托雷平的激烈态度来。,因为他每天早上都要空腹喝他一杯，这个习惯还是在军队里养成的。,0.0472,0,0
怎样让指甲变好看？,指甲怎么修好看,0.9383,1,1
我觉得外婆的上帝我懂得，也不可怕，似在外婆的上帝面前不能扯谎，说虚感到可耻。,就跟我同你说起过的那个生不了孩子的处女一样。,0.0236,0,0
请关掉手电筒,请打开手电筒,0.0,0,0
国王们不喜欢别人打断他们的侍从们的腿。,客人不多，或喝酒，或不喝，或站着，或坐着。,0.0,0,0
溜冰场上的一个人。,那人正坐着呢。,0.0447,0,0
朋友借钱忘了还，怎么开口找他要？,朋友借钱，不好开口要他们还这么办？,0.0,0,0
有两个人在攀岩，一个在地上，另一个在爬。,喝果汁的男人。,0.0223,0,0
你或许也可以活到一百零七岁的。,逮不着，你弄到了什么？,0.0,0,0
有个看守看见这景象，告诉我，说洛靖斯基没有反抗，罗卓夫斯基却挣扎了好半天，因此他们只好把他拖上绞架，硬把他的脑袋塞进绳套里。,他本可以狠狠一拳将她击倒，可他下不了手，只愿扭打。,0.0814,0,0
卡秋莎的生活，从尸体鼻孔里流岀的脓液，从眼眶里露出来的眼球，他对她做出的行为——这一切在他看来，都属于同一类的东西，他正在被这些东西从四面八方所包围，并被它们所吞食。,卡秋莎的生活、从尸体鼻孔里流出来的脓液、从眼眶里暴出来的眼球、他聂赫留朵夫对待她的那种行径，等等，依他看来都象是同一类的东西。,0.6731,1,1
“问题”的意思是什么？,问题是什么意思？,0.9765,1,1
一个男人在斜坡上表演自行车魔术。,那个人在滑板上。,0.0287,0,0
这门亲事，维尔福夫人又说，伊辟楠先生和他的家庭也是很乐意的，而且，他也没有什么近亲，只有一位叔父和一个婶娘，他的母亲是他落地的时候就死了的，他的父亲在一八一五年遭人暗杀——那就是说，在他只有两岁的时候。,他母亲在他落地的那会儿就死了，他父亲是一八一五年那时候给人暗杀的，当时这孩子才两岁，所以，现在他完全可以自己拿主意。,0.4871,1,1
当时为了你我伤心痛哭，他听见了就恶言恶语地挖苦我，还用脏话骂你，我听不下去就把他杀了。,她从来都不要我。,0.0,0,0
这时候她的脚脖子完全好了，举止也文雅起来了。,有什么办法呢，孔斯坦丁拿尔基则奇！,0.0,0,0
一场曲棍球比赛正在进行中，一名叫“大卫”的曲棍球运动员正试图在对守门员的比赛中得分。,一个人在做运动。,0.4391,1,1
她是谁？巴扎罗夫不乐意地问。,这是谁？巴扎罗夫不乐意地问了一旬。,0.9348,1,1
拉夫列茨基回到客厅里来，走近了牌桌。,聂赫留朵夫把自己的名片和一张写着有私事求见的字条递过去，请他转交给押解官。,0.133,0,0
让他们气疯好了，布伦特说，我们两个对付得了他们。,信仰有着一种不知什么怪诞的形式的需要。,0.0273,0,0
马尔达里阿波洛内奇管理自己的庄园相当马虎；为了不落后于时代，十年前他在莫斯科向布杰诺普工厂买了一台脱粒机，回来后把它锁在板棚里，从此便万事大吉。,马尔大利阿波洛内奇处理自己的领地非常注重表面；为了要不作时代落伍者，大约十年前他就向莫斯科的布捷诺泼公司买了一架打谷机，把它关闭在储藏室里，这就安心了。,0.7134,1,1
或许，尤其是在跟您相会的时候，这是一种错误，但假如我没有一点幻想的话，我就不成其为艺术家啦。,或许，特别是在跟您见面的时候，这也许是一个错误，但如果我没有一点幻想的话，我就不成其为艺术家啦。,0.9711,1,1
费尔法克斯太太，我发现，赞成我这样做。,打动她的心，成为她下定最后决心的原因之一，那就是领家对她说，她想做什么样的衣服就可以做什么样的衣服，不论是丝钱的、费伊绉的、绸缎的衣服或是袒露肩膀和胳膊的舞衫，一概能做。,0.0964,0,0
买股票能赚钱吗,买什么股票可赚钱？,0.0287,0,0
可是，因为爱决不会使眼光离开其主体的幸福，所以万物都不会憎恨自己；因为不可能设想任何存在物是离开最初的存在物而独立的，所以一切被造物都不可能僧恨他。,如今且说，既然爱决不能掉转脸去，把它的主体的幸福置于不顾，一切万物都没有憎恨自己的危险；而且我们不能想象一个造物脱离至高的造物主而单独存在，因此一切情感中断无恨上帝之心。,0.4513,1,1
孕妇可以吃螃蟹吗,怀孕能吃黑米吗,0.0,0,0
您好，已经帮您暂停的了，辛苦您了,这边已经帮您加急的哦，您尽快处理就可以的了，辛苦您了。,0.0,0,0
那好，就算这样，达德尼昂说，这封信就由您来写，阿拉密斯；不过，看在教皇圣父的份上，您要当心才是，因为现在该轮到我来挑眼儿了，我这可是有话在先。,您是我的朋友吗？,0.0009,0,0
可以的，您可以尝试自己修改下的，您无法修改的，这边可以帮您人工修改的。,您好，小二建议您可以操作申诉，但是申诉成功您自己的账户也会无法使用的,0.0,0,0
他们干吗非要守在旁边看着自己的儿子断气呢？,但不管怎样，他们干吗要看着他们的儿子断气呢？,0.5742,1,1
谁知道哪里可以去看电影！,谁知道哪里可以看这个电影？,0.9665,1,1
“我得回家了，”卡丹说。,卡丹说他必须回家。,0.3519,0,1
这些都是空话，亲爱的先生，伯爵说，您去讲给一个偶然遇到的人听听还差不多；但是德莫尔塞夫伯爵不是样的人当一个像他这样的人去找另一个人，提他说话要算数，而那个人却想赖账的时候，他是有权利要求对方至少当场说出一个像样的理由来的。,他请我星期六到他那儿吃饭，对他来说，这不过是一件极其自然的事情。,0.1804,0,0
一个穿着白色连衣裙的女人坐在一个穿着晚礼服的男人面前，两人都在树前。,那个女人穿白色衣服,0.2433,0,1
玛芙拉，我说得对吧？,他对娜塔莎的爱情、敌基督、拿破仑的入侵、彗星、、拿破仑皇帝以及俄国人别祖霍夫——所有这一切都必然成熟，爆发，把他从那个着了魔的、充满了莫斯科习气的他觉得他是这种习气的俘虏、毫无价值的环境中拯救出来，使他走上建立丰功伟绩和得到伟大幸福的道路。,0.0861,0,0
